index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,age,employed_year,work_phone,phone,email,occyp_type,family_size,begin_year,credit
37,0,1,1,0,585000.0,1,0,0,1,45.62465753424657,4.50958904109589,0,0,0,5,2,0.6666666666666666,2
38,1,0,1,0,202500.0,0,0,0,0,37.21095890410959,9.512328767123288,0,0,0,3,2,3.4166666666666665,2
39,0,1,1,2,112500.0,0,0,0,0,35.676712328767124,4.383561643835616,0,0,0,1,4,3.25,2
40,0,1,1,0,90900.0,0,0,0,0,59.45205479452055,6.646575342465753,0,0,0,1,2,1.75,1
41,1,0,1,2,99000.0,1,1,0,0,34.93698630136986,1.1863013698630136,0,1,0,7,4,1.5833333333333333,2
42,0,0,0,1,270000.0,0,0,0,0,27.24109589041096,1.5178082191780822,1,0,0,4,3,2.9166666666666665,0
43,1,0,0,0,67500.0,0,0,0,0,27.295890410958904,5.13972602739726,0,0,0,3,2,0.6666666666666666,1
44,0,0,0,0,247500.0,0,1,2,0,41.43835616438356,0.5452054794520548,0,0,0,5,2,2.1666666666666665,2
45,0,1,0,0,405000.0,0,1,0,0,51.10958904109589,8.767123287671232,1,1,0,6,2,0.3333333333333333,0
46,1,0,0,0,135000.0,2,0,4,0,57.80821917808219,0.0,0,1,0,0,1,2.0,2
47,1,1,1,0,292500.0,1,1,0,0,50.43561643835616,9.53972602739726,0,0,0,3,2,4.0,2
48,1,0,1,0,99000.0,2,0,0,0,64.61643835616438,0.0,0,0,0,0,2,0.3333333333333333,2
50,1,1,0,1,90000.0,0,0,0,0,38.221917808219175,3.0164383561643837,1,0,0,3,3,0.3333333333333333,2
51,0,1,1,0,495000.0,0,2,0,1,24.43013698630137,3.0164383561643837,0,0,1,5,2,0.8333333333333334,2
52,1,0,1,0,54000.0,2,0,0,0,65.87397260273973,0.0,0,1,0,0,2,3.0833333333333335,2
53,1,1,1,2,306000.0,3,1,0,0,37.0986301369863,10.863013698630137,0,0,0,2,4,3.5,2
55,1,0,1,0,180000.0,0,0,0,0,37.961643835616435,8.246575342465754,0,0,0,1,2,2.0,2
56,1,1,1,0,130500.0,0,0,0,0,44.21095890410959,25.72876712328767,0,1,0,1,2,2.4166666666666665,2
57,1,0,1,0,225000.0,1,1,1,0,46.66027397260274,1.7589041095890412,0,0,0,2,1,0.25,1
58,1,0,1,0,144000.0,2,0,0,0,63.92876712328767,0.0,0,0,0,0,2,1.9166666666666667,2
59,1,0,1,0,360000.0,2,1,0,0,62.97260273972603,0.0,0,1,0,0,2,2.0833333333333335,2
60,0,1,1,0,112500.0,2,0,3,0,58.62191780821918,0.0,0,0,0,0,1,0.08333333333333333,1
61,0,1,0,1,270000.0,1,1,0,0,31.15890410958904,3.756164383561644,0,0,0,4,3,1.25,2
62,1,1,1,0,225000.0,0,1,0,0,47.676712328767124,8.638356164383561,0,1,0,2,2,3.3333333333333335,1
63,0,1,1,0,315000.0,0,1,0,0,42.701369863013696,9.142465753424657,0,0,0,4,2,1.75,2
64,0,1,0,0,67500.0,1,0,1,2,24.786301369863015,1.9616438356164383,0,0,0,10,1,2.6666666666666665,2
65,1,0,1,0,40500.0,0,0,0,0,34.87397260273973,13.523287671232877,1,0,0,11,2,0.8333333333333334,2
66,0,0,1,1,144000.0,0,0,0,0,37.701369863013696,7.624657534246575,0,0,0,1,3,0.3333333333333333,1
67,1,0,1,2,157500.0,1,1,0,0,33.24657534246575,3.3315068493150686,0,0,0,6,4,0.16666666666666666,1
68,1,0,0,0,180000.0,0,0,0,0,28.243835616438357,4.410958904109589,0,0,0,1,2,1.1666666666666667,1
69,1,0,1,0,157500.0,0,1,0,0,42.36164383561644,8.134246575342466,0,0,1,8,2,4.916666666666667,2
70,0,0,1,0,81000.0,1,1,1,0,27.052054794520547,5.282191780821917,0,1,0,1,1,3.25,2
71,0,1,0,2,202500.0,0,0,0,0,43.57260273972603,10.375342465753425,0,0,0,1,4,4.5,2
73,1,0,1,0,180000.0,2,0,0,0,63.75068493150685,0.0,0,1,0,0,2,2.8333333333333335,2
74,1,0,1,1,67500.0,0,0,0,0,28.356164383561644,0.6,1,1,0,3,3,2.0833333333333335,2
75,1,1,1,0,315000.0,1,0,0,0,42.88493150684931,15.068493150684931,0,0,1,2,2,2.8333333333333335,2
77,1,0,0,0,135000.0,0,1,1,0,26.898630136986302,1.4246575342465753,0,0,0,2,1,0.5833333333333334,1
78,1,1,1,0,112500.0,0,0,0,0,34.76712328767123,0.6328767123287671,1,0,0,3,2,1.9166666666666667,1
79,1,1,1,1,225000.0,0,1,3,0,40.59178082191781,4.580821917808219,0,0,0,2,2,0.16666666666666666,0
80,1,0,1,0,247500.0,1,0,2,0,48.93698630136986,0.5808219178082191,0,0,0,1,2,0.16666666666666666,1
81,0,1,1,0,135000.0,0,0,0,0,28.257534246575343,2.6356164383561644,0,0,1,3,2,0.0,0
82,1,1,1,0,216000.0,0,1,2,0,41.846575342465755,3.8986301369863012,0,0,1,7,2,4.416666666666667,2
83,1,0,0,2,180000.0,0,1,0,0,32.61643835616438,4.657534246575342,0,0,0,6,4,3.1666666666666665,1
84,0,1,1,0,135000.0,2,0,0,0,64.55616438356165,0.0,0,1,0,0,2,2.25,2
85,0,1,0,0,184500.0,0,0,0,2,49.35068493150685,3.328767123287671,0,0,0,1,2,3.4166666666666665,1
86,0,1,1,1,112500.0,0,0,0,0,34.441095890410956,1.2356164383561643,1,0,1,5,3,3.75,2
87,1,0,1,0,270000.0,1,0,4,0,36.35616438356164,0.6438356164383562,1,1,1,2,1,4.666666666666667,2
88,1,1,1,0,360000.0,1,0,0,0,55.92328767123288,14.868493150684932,0,0,0,4,2,3.75,2
89,0,0,0,0,450000.0,1,2,0,0,39.63013698630137,11.356164383561644,1,1,0,4,2,4.916666666666667,2
90,1,0,1,0,45000.0,3,0,0,0,55.342465753424655,25.764383561643836,1,0,0,11,2,2.5,2
91,1,1,1,0,202500.0,0,0,0,0,51.35342465753425,8.186301369863013,0,0,0,12,2,1.6666666666666667,2
92,0,1,1,1,135000.0,1,0,0,0,33.397260273972606,1.893150684931507,0,0,0,1,3,0.4166666666666667,2
93,1,0,1,0,202500.0,1,0,1,0,52.2,9.942465753424658,0,0,0,6,1,1.8333333333333333,1
94,1,0,1,0,180000.0,2,0,0,0,65.12328767123287,0.0,0,0,0,0,2,2.1666666666666665,2
95,0,0,1,0,79650.0,2,0,0,0,44.057534246575344,0.0,0,1,0,0,2,1.1666666666666667,2
96,0,0,1,0,450000.0,1,0,0,0,64.86027397260274,5.717808219178083,0,0,0,10,2,4.666666666666667,2
97,0,1,1,0,157500.0,0,0,2,0,25.67945205479452,3.3205479452054796,0,0,0,5,2,3.8333333333333335,2
98,0,1,1,0,450000.0,1,1,1,0,29.69041095890411,1.610958904109589,0,0,1,3,1,0.4166666666666667,2
99,1,0,0,0,270000.0,3,0,3,0,53.04931506849315,33.78630136986301,0,1,1,8,1,2.9166666666666665,2
100,1,0,1,0,135000.0,0,1,0,0,60.58082191780822,23.263013698630136,0,0,0,12,2,0.75,2
101,1,0,1,0,81000.0,0,0,0,0,53.865753424657534,8.345205479452055,1,1,0,4,2,0.16666666666666666,1
102,1,0,0,1,135000.0,1,0,0,0,33.61369863013699,1.6547945205479453,0,0,0,4,3,1.0,2
103,0,1,0,0,315000.0,0,1,0,0,43.35616438356164,10.191780821917808,1,1,0,4,2,1.0,2
104,0,1,1,0,225000.0,1,1,1,0,43.81917808219178,6.950684931506849,0,1,0,3,1,0.5833333333333334,0
105,0,1,1,0,135000.0,1,0,0,0,27.353424657534248,7.13972602739726,0,0,0,1,2,0.4166666666666667,2
108,1,0,1,0,153000.0,0,1,1,0,29.484931506849314,1.8712328767123287,0,1,0,2,1,1.8333333333333333,2
109,1,0,1,0,126000.0,0,0,0,0,62.49589041095891,6.120547945205479,1,1,0,6,2,1.0833333333333333,2
110,0,1,1,0,315000.0,1,1,0,0,35.1945205479452,0.44931506849315067,0,0,0,4,2,4.75,2
111,0,1,1,1,225000.0,0,0,0,0,44.31506849315068,6.495890410958904,0,0,0,5,3,3.6666666666666665,2
112,1,0,0,0,193500.0,0,0,1,0,48.83835616438356,0.5506849315068493,0,1,0,1,1,0.3333333333333333,2
113,1,0,1,2,90000.0,1,0,0,0,47.62739726027397,3.117808219178082,0,0,0,9,4,3.0,1
114,0,1,1,2,135000.0,0,1,0,0,31.682191780821917,8.065753424657535,0,0,1,4,4,3.5833333333333335,2
115,1,0,0,0,81000.0,2,0,0,0,57.31506849315068,0.0,0,0,0,0,2,4.083333333333333,2
116,1,1,1,1,382500.0,0,0,0,0,39.224657534246575,7.536986301369863,0,0,0,4,3,0.9166666666666666,2
117,1,0,1,0,202500.0,1,0,0,0,44.30958904109589,1.8465753424657534,0,0,0,3,2,2.25,2
118,1,0,1,0,112500.0,0,1,0,0,50.02465753424657,15.76986301369863,0,1,0,3,2,3.9166666666666665,2
119,1,0,1,2,144000.0,0,0,0,0,33.95342465753425,5.079452054794521,1,1,0,9,4,0.0,1
120,1,0,1,0,157500.0,2,0,4,0,58.895890410958906,0.0,0,0,0,0,1,0.3333333333333333,1
121,1,0,0,0,144000.0,0,0,0,2,45.59178082191781,27.364383561643837,1,1,0,3,2,2.9166666666666665,2
122,1,1,1,2,283500.0,3,1,0,0,35.347945205479455,11.287671232876713,0,0,0,2,4,3.25,2
123,1,0,1,0,202500.0,0,0,0,0,53.23561643835617,17.057534246575344,0,0,0,6,2,4.0,2
124,1,1,1,2,90000.0,1,0,0,0,42.534246575342465,9.197260273972603,0,0,0,7,4,4.583333333333333,2
125,0,0,1,0,360000.0,1,0,0,0,34.2,11.065753424657535,0,0,0,4,2,3.5,2
126,1,1,0,1,175500.0,1,0,1,2,32.07945205479452,13.652054794520549,0,0,0,1,2,3.75,2
127,0,1,1,1,360000.0,1,1,0,0,45.30684931506849,1.1232876712328768,0,1,1,1,3,2.5,2
128,1,0,1,1,112500.0,0,0,0,0,37.64657534246575,14.304109589041095,0,0,0,1,3,3.1666666666666665,1
129,0,0,0,1,315000.0,0,0,0,0,48.04657534246575,4.791780821917809,0,0,0,1,3,0.9166666666666666,2
130,1,0,1,0,297000.0,1,0,1,3,42.51780821917808,8.860273972602739,0,0,0,1,1,0.08333333333333333,0
132,1,0,0,0,225000.0,1,1,0,0,28.92876712328767,1.1753424657534246,1,1,0,5,2,2.9166666666666665,2
133,1,1,0,1,387000.0,0,1,0,0,36.07671232876712,7.052054794520548,0,0,0,4,3,1.8333333333333333,2
134,1,1,1,0,135000.0,2,0,4,0,62.989041095890414,0.0,0,0,0,0,1,0.5,2
135,0,1,0,1,337500.0,1,1,3,0,42.00821917808219,0.536986301369863,0,1,0,4,2,1.9166666666666667,0
136,1,0,0,1,225000.0,1,0,2,0,34.63013698630137,1.093150684931507,0,0,0,7,3,2.4166666666666665,2
137,1,1,1,1,225000.0,1,0,0,0,37.23561643835617,8.893150684931507,0,0,0,3,3,3.8333333333333335,2
138,1,0,1,0,54000.0,2,0,0,0,66.75890410958904,0.0,0,0,0,0,2,0.16666666666666666,0
140,0,1,1,1,180000.0,0,1,0,1,32.64931506849315,4.602739726027397,1,0,0,1,3,1.25,0
141,1,1,1,1,112500.0,1,1,2,0,28.90684931506849,8.219178082191782,0,0,1,2,3,1.0,2
142,0,1,1,0,360000.0,0,1,0,0,61.52328767123288,5.298630136986302,0,1,0,4,2,0.9166666666666666,2
143,1,1,1,0,256500.0,1,0,0,0,37.865753424657534,2.9342465753424656,0,0,1,2,2,3.75,2
145,1,1,0,0,202500.0,3,0,0,0,53.69315068493151,32.71232876712329,0,1,0,8,2,0.5833333333333334,2
146,1,0,0,0,247500.0,0,1,0,0,38.728767123287675,20.273972602739725,1,1,0,4,2,0.5,1
147,1,0,1,0,157500.0,0,1,0,0,34.74246575342466,1.9424657534246574,0,0,0,3,2,0.9166666666666666,1
149,1,0,1,2,112500.0,0,0,0,0,35.54520547945206,6.517808219178082,0,0,0,1,4,4.083333333333333,1
150,1,1,0,1,157500.0,0,1,0,0,32.602739726027394,7.747945205479452,0,0,0,1,3,3.4166666666666665,2
151,0,1,1,0,360000.0,1,0,0,0,42.038356164383565,0.8602739726027397,0,0,0,5,2,2.75,2
152,1,1,1,0,360000.0,0,0,3,0,29.03287671232877,1.5726027397260274,1,0,0,8,1,2.9166666666666665,2
153,0,1,1,0,180000.0,1,0,0,0,49.24657534246575,9.523287671232877,0,0,0,5,2,2.6666666666666665,1
155,1,0,1,0,90000.0,2,0,0,0,55.78630136986301,0.0,0,0,0,0,2,2.9166666666666665,2
156,0,0,1,1,135000.0,0,0,3,0,45.83013698630137,2.410958904109589,0,0,0,1,2,3.1666666666666665,2
158,0,0,1,1,202500.0,3,1,0,0,29.46849315068493,6.4520547945205475,0,0,0,2,3,3.25,2
159,1,0,1,0,153000.0,2,1,0,0,59.9972602739726,0.0,0,1,0,0,2,4.25,1
160,1,1,1,1,72000.0,0,0,0,0,46.94794520547945,3.4684931506849317,0,0,0,3,3,0.9166666666666666,2
161,0,1,1,2,360000.0,0,0,0,0,36.89041095890411,2.2986301369863016,0,1,0,4,4,2.75,0
162,1,0,0,1,540000.0,0,0,3,0,44.95616438356164,5.602739726027397,1,0,0,4,2,5.0,2
163,1,0,1,0,155250.0,2,0,0,0,60.394520547945206,0.0,0,0,0,0,2,2.0,2
164,0,1,1,0,189000.0,0,0,0,0,57.02739726027397,2.271232876712329,0,0,1,10,2,0.25,1
166,1,0,1,0,495000.0,2,0,4,0,59.16712328767123,0.0,0,1,0,0,1,1.25,2
167,0,1,0,0,459000.0,1,0,0,0,43.78082191780822,0.32602739726027397,1,1,0,5,2,1.1666666666666667,2
170,0,1,1,1,450000.0,1,0,0,0,49.78904109589041,1.8575342465753424,0,1,1,2,3,5.0,2
171,1,0,0,0,135000.0,0,0,0,0,42.463013698630135,2.3808219178082193,0,0,0,12,2,0.16666666666666666,0
173,1,0,1,0,189000.0,2,0,0,0,63.24931506849315,0.0,0,0,0,0,2,1.5833333333333333,0
174,1,0,1,0,225000.0,1,1,0,0,29.465753424657535,2.8493150684931505,0,0,1,3,2,1.25,2
175,0,0,1,0,112500.0,0,0,0,0,29.328767123287673,3.76986301369863,0,0,0,5,2,0.16666666666666666,1
176,1,1,0,0,315000.0,3,1,0,0,49.15068493150685,27.279452054794522,1,0,0,4,2,2.1666666666666665,2
178,0,0,0,0,126000.0,2,0,0,0,55.583561643835615,0.0,0,0,0,0,2,1.0,2
179,0,1,1,0,315000.0,1,0,0,3,46.54794520547945,5.550684931506849,0,0,0,5,2,1.5833333333333333,2
180,1,1,1,0,720000.0,1,1,3,0,56.961643835616435,13.189041095890412,1,1,0,4,1,4.833333333333333,2
181,1,0,1,0,90000.0,2,0,0,0,56.76164383561644,0.0,0,0,0,0,2,0.4166666666666667,0
183,1,0,1,0,157500.0,2,0,0,0,62.632876712328766,0.0,0,1,0,0,2,3.5,1
184,0,1,0,0,225000.0,0,0,0,4,41.347945205479455,2.7260273972602738,0,0,1,5,2,3.8333333333333335,2
185,1,0,1,0,180000.0,0,3,4,0,46.035616438356165,6.101369863013699,1,1,0,11,1,4.083333333333333,2
186,1,1,1,0,216000.0,0,1,0,0,50.76438356164383,4.956164383561644,0,0,0,15,2,0.8333333333333334,2
187,1,1,1,1,157500.0,1,0,0,0,37.89041095890411,11.613698630136986,0,0,0,1,3,0.3333333333333333,1
188,1,0,0,0,112500.0,2,0,4,0,54.868493150684934,0.0,0,0,0,0,1,2.1666666666666665,0
190,1,0,1,0,90000.0,2,0,1,0,63.73150684931507,0.0,0,1,0,0,1,1.0833333333333333,0
191,1,0,0,0,121500.0,2,0,0,0,58.38356164383562,0.0,0,0,0,0,2,2.3333333333333335,2
192,1,0,1,0,135000.0,0,1,0,0,36.43561643835616,4.46027397260274,0,0,0,1,2,1.1666666666666667,2
193,0,1,0,0,202500.0,1,0,0,0,44.44931506849315,7.052054794520548,0,0,0,10,2,1.8333333333333333,0
194,0,1,0,1,252000.0,3,1,0,0,34.2,4.52054794520548,1,1,0,6,3,1.5833333333333333,1
195,1,0,1,0,202500.0,0,0,2,0,30.084931506849315,1.5123287671232877,0,0,0,1,2,0.4166666666666667,2
196,0,1,1,0,202500.0,0,0,0,0,27.09315068493151,6.271232876712329,0,0,0,4,2,3.0,2
197,0,0,1,1,360000.0,0,0,2,0,31.572602739726026,6.997260273972603,0,0,0,3,3,4.083333333333333,2
198,1,0,1,2,225000.0,3,0,0,0,35.827397260273976,14.778082191780822,1,0,0,8,4,2.1666666666666665,1
199,1,0,1,2,360000.0,0,0,0,0,43.320547945205476,1.8027397260273972,0,1,0,3,4,0.9166666666666666,2
200,0,1,1,0,202500.0,0,1,0,0,40.12602739726027,5.35068493150685,0,0,0,4,2,0.25,1
201,1,1,1,0,225000.0,0,1,0,0,33.75890410958904,10.183561643835617,0,0,0,2,2,0.8333333333333334,1
202,1,0,0,0,135000.0,0,1,0,0,38.863013698630134,12.183561643835617,1,0,0,2,2,0.6666666666666666,1
203,0,1,1,0,360000.0,1,0,0,0,31.816438356164383,11.043835616438356,0,1,0,1,2,3.4166666666666665,2
204,0,0,0,0,382500.0,0,0,0,2,47.271232876712325,3.3068493150684932,1,1,0,4,2,3.8333333333333335,1
205,1,0,1,0,171000.0,0,0,1,3,46.40547945205479,1.8438356164383563,0,0,0,1,1,2.3333333333333335,2
206,0,0,0,0,292500.0,3,0,0,0,31.136986301369863,7.52054794520548,1,1,0,2,2,4.0,1
207,1,1,0,0,144000.0,0,0,4,0,39.47123287671233,3.684931506849315,0,0,0,17,1,0.5,2
208,1,0,0,2,112500.0,3,1,0,0,31.791780821917808,7.454794520547945,0,0,1,2,4,0.25,0
209,1,0,1,0,81000.0,2,0,0,0,58.583561643835615,0.0,0,1,0,0,2,1.5,2
210,1,1,1,1,225000.0,0,1,3,0,40.59178082191781,4.580821917808219,0,0,0,2,2,0.0,1
211,1,0,1,0,315000.0,1,1,3,0,48.635616438356166,6.52054794520548,1,1,0,7,1,4.333333333333333,2
212,0,1,1,1,427500.0,0,1,0,0,41.32876712328767,0.9698630136986301,0,0,0,4,3,0.25,1
213,1,0,0,0,78750.0,0,0,0,1,33.16164383561644,5.602739726027397,1,0,0,10,2,1.0833333333333333,2
214,1,0,0,0,67500.0,2,1,4,0,65.97534246575343,0.0,0,0,0,0,1,2.5,0
215,1,0,1,0,121500.0,0,0,0,0,60.4,5.50958904109589,0,0,0,1,2,1.0833333333333333,2
216,1,0,0,0,144000.0,0,0,1,0,46.295890410958904,20.027397260273972,1,1,0,2,1,3.5,2
217,1,0,1,0,135000.0,2,0,0,0,61.04931506849315,0.0,0,0,0,0,2,3.75,1
218,1,0,0,0,94500.0,2,0,0,0,58.93972602739726,0.0,0,1,0,0,2,3.4166666666666665,0
219,1,1,0,0,562500.0,0,1,0,0,40.14794520547945,7.76986301369863,1,0,0,4,2,1.0,0
220,1,0,1,0,90000.0,2,0,1,0,60.25205479452055,0.0,0,0,0,0,1,2.6666666666666665,1
221,1,0,0,1,72000.0,1,1,0,0,38.83013698630137,5.273972602739726,0,0,1,7,3,3.5833333333333335,2
222,0,0,1,0,144000.0,0,0,2,0,46.51780821917808,5.013698630136986,0,0,0,10,2,0.9166666666666666,2
223,1,1,0,0,202500.0,1,0,0,2,58.29041095890411,3.0904109589041098,0,1,0,7,2,1.4166666666666667,2
224,1,0,0,0,270000.0,0,1,0,0,48.14520547945205,15.868493150684932,1,1,0,4,2,2.3333333333333335,2
226,1,1,1,2,315000.0,1,1,0,1,34.57808219178082,3.6356164383561644,0,0,0,4,4,4.166666666666667,2
228,0,0,1,0,292500.0,1,1,1,3,27.36986301369863,3.345205479452055,0,1,0,3,1,0.5833333333333334,0
229,1,0,1,0,90000.0,2,1,0,0,58.465753424657535,0.0,0,0,0,0,2,4.25,2
230,1,0,0,0,103500.0,0,0,0,0,48.676712328767124,30.306849315068494,1,0,0,8,2,3.0833333333333335,2
231,1,1,0,0,67500.0,2,0,0,0,62.983561643835614,0.0,0,1,0,0,2,1.5833333333333333,2
232,1,1,1,0,225000.0,0,1,2,0,30.32054794520548,1.347945205479452,0,0,0,3,2,1.4166666666666667,0
234,0,1,1,0,450000.0,1,0,0,0,50.18630136986302,2.5287671232876714,0,1,1,5,2,4.916666666666667,1
235,0,0,1,0,247500.0,1,1,2,0,43.821917808219176,1.0986301369863014,0,0,0,2,2,0.9166666666666666,1
236,0,1,0,0,247500.0,1,0,0,0,47.821917808219176,3.6191780821917807,0,0,0,5,2,1.6666666666666667,1
238,0,0,0,0,225000.0,0,0,0,0,42.83287671232877,0.4328767123287671,1,0,0,1,2,2.4166666666666665,2
239,1,1,1,1,270000.0,0,1,3,0,38.4986301369863,0.3835616438356164,0,1,1,3,2,3.0833333333333335,2
241,0,0,0,2,202500.0,0,0,0,0,34.8027397260274,8.605479452054794,0,1,0,1,4,1.5,1
242,1,0,0,2,180000.0,1,0,0,0,37.78356164383562,3.706849315068493,1,0,0,7,4,0.5,2
243,1,0,1,0,112500.0,1,0,1,0,43.56986301369863,2.0876712328767124,0,0,0,3,1,1.0833333333333333,2
244,0,0,0,1,99000.0,0,0,1,0,48.97534246575343,14.353424657534246,0,0,0,1,2,0.08333333333333333,1
245,1,1,1,1,157500.0,3,0,0,0,37.83835616438356,9.26027397260274,0,0,0,1,3,1.9166666666666667,0
246,1,1,1,0,202500.0,0,1,0,0,55.293150684931504,20.586301369863012,0,0,0,7,2,3.5833333333333335,1
247,1,0,1,0,90000.0,0,0,0,0,50.61369863013699,8.276712328767124,0,0,1,11,2,2.3333333333333335,2
248,0,1,1,2,157500.0,1,1,0,1,38.88219178082192,1.715068493150685,0,0,0,5,4,3.9166666666666665,2
249,0,0,0,0,180000.0,0,1,0,0,41.01917808219178,2.9123287671232876,0,0,0,2,2,3.5833333333333335,1
250,0,0,1,1,180000.0,1,0,0,2,34.59452054794521,6.210958904109589,0,0,0,6,3,0.9166666666666666,1
251,1,0,0,0,202500.0,2,0,0,0,56.342465753424655,0.0,0,1,0,0,2,1.1666666666666667,2
252,1,1,0,1,90000.0,0,2,0,3,33.92602739726028,9.534246575342467,0,0,0,1,3,0.5,1
253,1,0,1,0,225000.0,1,1,1,0,54.18356164383562,18.726027397260275,1,1,0,2,1,1.8333333333333333,2
254,1,1,1,0,126000.0,1,0,0,0,28.224657534246575,2.010958904109589,0,0,0,2,2,2.6666666666666665,2
255,1,0,1,1,180000.0,3,1,0,0,30.052054794520547,9.547945205479452,0,0,1,6,3,0.4166666666666667,1
256,1,0,1,2,360000.0,1,0,1,0,37.1945205479452,9.753424657534246,0,0,0,3,3,2.0833333333333335,2
257,1,0,1,0,157500.0,2,0,4,0,65.13424657534246,0.0,0,0,0,0,1,1.4166666666666667,1
258,1,0,1,0,315000.0,0,0,3,0,41.797260273972604,9.016438356164384,0,0,0,1,1,1.5,0
259,1,1,1,1,270000.0,0,0,0,0,39.75890410958904,12.591780821917808,0,0,0,1,3,3.8333333333333335,2
260,1,0,1,1,180000.0,0,1,2,0,37.71780821917808,5.156164383561644,0,0,0,3,3,3.4166666666666665,1
261,1,0,1,2,180000.0,0,0,0,0,36.605479452054794,18.043835616438358,1,0,0,2,4,1.5,2
264,1,0,0,0,81000.0,2,0,0,0,62.441095890410956,0.0,0,0,0,0,2,2.75,2
266,1,0,1,0,238500.0,0,1,0,0,56.21095890410959,8.139726027397261,1,1,0,3,2,1.0,2
267,1,1,1,0,202500.0,2,1,4,0,58.271232876712325,0.0,0,0,1,0,1,3.25,2
268,1,0,1,0,630000.0,0,1,3,0,60.276712328767125,4.2164383561643834,1,1,0,7,1,3.4166666666666665,2
269,1,0,1,0,405000.0,1,0,1,0,36.608219178082194,5.3780821917808215,0,0,0,3,1,2.0833333333333335,2
270,0,1,0,2,135000.0,0,1,0,0,34.863013698630134,4.468493150684932,0,0,0,2,4,3.5,0
271,1,1,0,0,112500.0,0,1,0,1,28.698630136986303,4.909589041095891,1,1,0,2,2,0.9166666666666666,2
