index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
27,0,1,1,0,405000.0,3,0,0,0,-17309,-3500,1,0,0,0,0,2.0,-57.0,2.0
28,0,1,0,0,112500.0,1,0,0,1,-22111,-2325,1,1,1,0,5,2.0,-47.0,2.0
29,1,0,1,0,121500.0,1,0,0,5,-12017,-1711,1,0,1,0,3,2.0,-22.0,0.0
30,0,1,0,0,225000.0,1,0,0,0,-13188,-227,1,0,0,0,4,2.0,-33.0,2.0
31,0,1,1,0,135000.0,1,1,0,0,-11762,-3452,1,1,0,1,1,2.0,-18.0,0.0
32,1,0,1,0,135000.0,0,1,0,0,-13299,-1628,1,0,0,0,1,2.0,-2.0,0.0
33,0,0,1,0,202500.0,0,0,0,0,-19200,-346,1,0,1,0,6,2.0,-30.0,2.0
34,0,1,1,1,270000.0,0,0,0,0,-14488,-1630,1,0,1,0,1,3.0,-22.0,0.0
35,1,1,0,0,225000.0,0,1,2,0,-14438,-2433,1,0,0,0,4,2.0,-20.0,2.0
36,1,1,0,0,225000.0,0,1,1,0,-20200,-1022,1,1,1,0,7,1.0,-14.0,2.0
37,0,1,1,0,585000.0,1,0,0,1,-16653,-1646,1,0,0,0,5,2.0,-8.0,2.0
38,1,0,1,0,202500.0,0,0,0,0,-13582,-3472,1,0,0,0,3,2.0,-41.0,2.0
39,0,1,1,2,112500.0,0,0,0,0,-13022,-1600,1,0,0,0,1,4.0,-39.0,2.0
40,0,1,1,0,90900.0,0,0,0,0,-21700,-2426,1,0,0,0,1,2.0,-21.0,1.0
41,1,0,1,2,99000.0,1,1,0,0,-12752,-433,1,0,1,0,7,4.0,-19.0,2.0
42,0,0,0,1,270000.0,0,0,0,0,-9943,-554,1,1,0,0,4,3.0,-35.0,0.0
43,1,0,0,0,67500.0,0,0,0,0,-9963,-1876,1,0,0,0,3,2.0,-8.0,1.0
44,0,0,0,0,247500.0,0,1,2,0,-15125,-199,1,0,0,0,5,2.0,-26.0,2.0
45,0,1,0,0,405000.0,0,1,0,0,-18655,-3200,1,1,1,0,6,2.0,-4.0,0.0
46,1,0,0,0,135000.0,2,0,4,0,-21100,365243,1,0,1,0,0,1.0,-24.0,2.0
47,1,1,1,0,292500.0,1,1,0,0,-18409,-3482,1,0,0,0,3,2.0,-48.0,2.0
48,1,0,1,0,99000.0,2,0,0,0,-23585,365243,1,0,0,0,0,2.0,-4.0,2.0
49,1,0,1,0,585000.0,1,0,0,0,-18858,-2010,1,0,1,0,0,2.0,-12.0,2.0
50,1,1,0,1,90000.0,0,0,0,0,-13951,-1101,1,1,0,0,3,3.0,-4.0,2.0
51,0,1,1,0,495000.0,0,2,0,1,-8917,-1101,1,0,0,1,5,2.0,-10.0,2.0
52,1,0,1,0,54000.0,2,0,0,0,-24044,365243,1,0,1,0,0,2.0,-37.0,2.0
53,1,1,1,2,306000.0,3,1,0,0,-13541,-3965,1,0,0,0,2,4.0,-42.0,2.0
54,1,0,0,1,99000.0,0,0,0,0,-15626,-422,1,0,0,0,0,3.0,-2.0,1.0
55,1,0,1,0,180000.0,0,0,0,0,-13856,-3010,1,0,0,0,1,2.0,-24.0,2.0
56,1,1,1,0,130500.0,0,0,0,0,-16137,-9391,1,0,1,0,1,2.0,-29.0,2.0
57,1,0,1,0,225000.0,1,1,1,0,-17031,-642,1,0,0,0,2,1.0,-3.0,1.0
58,1,0,1,0,144000.0,2,0,0,0,-23334,365243,1,0,0,0,0,2.0,-23.0,2.0
59,1,0,1,0,360000.0,2,1,0,0,-22985,365243,1,0,1,0,0,2.0,-25.0,2.0
60,0,1,1,0,112500.0,2,0,3,0,-21397,365243,1,0,0,0,0,1.0,-1.0,1.0
61,0,1,0,1,270000.0,1,1,0,0,-11373,-1371,1,0,0,0,4,3.0,-15.0,2.0
62,1,1,1,0,225000.0,0,1,0,0,-17402,-3153,1,0,1,0,2,2.0,-40.0,1.0
63,0,1,1,0,315000.0,0,1,0,0,-15586,-3337,1,0,0,0,4,2.0,-21.0,2.0
64,0,1,0,0,67500.0,1,0,1,2,-9047,-716,1,0,0,0,10,1.0,-32.0,2.0
65,1,0,1,0,40500.0,0,0,0,0,-12729,-4936,1,1,0,0,11,2.0,-10.0,2.0
66,0,0,1,1,144000.0,0,0,0,0,-13761,-2783,1,0,0,0,1,3.0,-4.0,1.0
67,1,0,1,2,157500.0,1,1,0,0,-12135,-1216,1,0,0,0,6,4.0,-2.0,1.0
68,1,0,0,0,180000.0,0,0,0,0,-10309,-1610,1,0,0,0,1,2.0,-14.0,1.0
69,1,0,1,0,157500.0,0,1,0,0,-15462,-2969,1,0,0,1,8,2.0,-59.0,2.0
70,0,0,1,0,81000.0,1,1,1,0,-9874,-1928,1,0,1,0,1,1.0,-39.0,2.0
71,0,1,0,2,202500.0,0,0,0,0,-15904,-3787,1,0,0,0,1,4.0,-54.0,2.0
72,1,0,0,0,351000.0,1,1,0,0,-21574,-1081,1,0,1,0,0,2.0,-4.0,2.0
73,1,0,1,0,180000.0,2,0,0,0,-23269,365243,1,0,1,0,0,2.0,-34.0,2.0
74,1,0,1,1,67500.0,0,0,0,0,-10350,-219,1,1,1,0,3,3.0,-25.0,2.0
75,1,1,1,0,315000.0,1,0,0,0,-15653,-5500,1,0,0,1,2,2.0,-34.0,2.0
76,1,1,0,0,315000.0,1,1,0,0,-13557,-586,1,1,1,0,0,2.0,-15.0,2.0
77,1,0,0,0,135000.0,0,1,1,0,-9818,-520,1,0,0,0,2,1.0,-7.0,1.0
78,1,1,1,0,112500.0,0,0,0,0,-12690,-231,1,1,0,0,3,2.0,-23.0,1.0
79,1,1,1,1,225000.0,0,1,3,0,-14816,-1672,1,0,0,0,2,2.0,-2.0,0.0
80,1,0,1,0,247500.0,1,0,2,0,-17862,-212,1,0,0,0,1,2.0,-2.0,1.0
81,0,1,1,0,135000.0,0,0,0,0,-10314,-962,1,0,0,1,3,2.0,0.0,0.0
82,1,1,1,0,216000.0,0,1,2,0,-15274,-1423,1,0,0,1,7,2.0,-53.0,2.0
83,1,0,0,2,180000.0,0,1,0,0,-11905,-1700,1,0,0,0,6,4.0,-38.0,1.0
84,0,1,1,0,135000.0,2,0,0,0,-23563,365243,1,0,1,0,0,2.0,-27.0,2.0
85,0,1,0,0,184500.0,0,0,0,2,-18013,-1215,1,0,0,0,1,2.0,-41.0,1.0
86,0,1,1,1,112500.0,0,0,0,0,-12571,-451,1,1,0,1,5,3.0,-45.0,2.0
87,1,0,1,0,270000.0,1,0,4,0,-13270,-235,1,1,1,1,2,1.0,-56.0,2.0
88,1,1,1,0,360000.0,1,0,0,0,-20412,-5427,1,0,0,0,4,2.0,-45.0,2.0
89,0,0,0,0,450000.0,1,2,0,0,-14465,-4145,1,1,1,0,4,2.0,-59.0,2.0
90,1,0,1,0,45000.0,3,0,0,0,-20200,-9404,1,1,0,0,11,2.0,-30.0,2.0
91,1,1,1,0,202500.0,0,0,0,0,-18744,-2988,1,0,0,0,12,2.0,-20.0,2.0
92,0,1,1,1,135000.0,1,0,0,0,-12190,-691,1,0,0,0,1,3.0,-5.0,2.0
93,1,0,1,0,202500.0,1,0,1,0,-19053,-3629,1,0,0,0,6,1.0,-22.0,1.0
94,1,0,1,0,180000.0,2,0,0,0,-23770,365243,1,0,0,0,0,2.0,-26.0,2.0
95,0,0,1,0,79650.0,2,0,0,0,-16081,365243,1,0,1,0,0,2.0,-14.0,2.0
96,0,0,1,0,450000.0,1,0,0,0,-23674,-2087,1,0,0,0,10,2.0,-56.0,2.0
97,0,1,1,0,157500.0,0,0,2,0,-9373,-1212,1,0,0,0,5,2.0,-46.0,2.0
98,0,1,1,0,450000.0,1,1,1,0,-10837,-588,1,0,0,1,3,1.0,-5.0,2.0
99,1,0,0,0,270000.0,3,0,3,0,-19363,-12332,1,0,1,1,8,1.0,-35.0,2.0
100,1,0,1,0,135000.0,0,1,0,0,-22112,-8491,1,0,0,0,12,2.0,-9.0,2.0
101,1,0,1,0,81000.0,0,0,0,0,-19661,-3046,1,1,1,0,4,2.0,-2.0,1.0
102,1,0,0,1,135000.0,1,0,0,0,-12269,-604,1,0,0,0,4,3.0,-12.0,2.0
103,0,1,0,0,315000.0,0,1,0,0,-15825,-3720,1,1,1,0,4,2.0,-12.0,2.0
104,0,1,1,0,225000.0,1,1,1,0,-15994,-2537,1,0,1,0,3,1.0,-7.0,0.0
105,0,1,1,0,135000.0,1,0,0,0,-9984,-2606,1,0,0,0,1,2.0,-5.0,2.0
106,1,0,0,1,90000.0,0,0,0,0,-16118,-1959,1,0,1,0,0,3.0,-47.0,2.0
107,1,1,0,1,306000.0,0,1,0,0,-9310,-1678,1,0,0,0,0,3.0,-4.0,1.0
108,1,0,1,0,153000.0,0,1,1,0,-10762,-683,1,0,1,0,2,1.0,-22.0,2.0
109,1,0,1,0,126000.0,0,0,0,0,-22811,-2234,1,1,1,0,6,2.0,-13.0,2.0
110,0,1,1,0,315000.0,1,1,0,0,-12846,-164,1,0,0,0,4,2.0,-57.0,2.0
111,0,1,1,1,225000.0,0,0,0,0,-16175,-2371,1,0,0,0,5,3.0,-44.0,2.0
112,1,0,0,0,193500.0,0,0,1,0,-17826,-201,1,0,1,0,1,1.0,-4.0,2.0
113,1,0,1,2,90000.0,1,0,0,0,-17384,-1138,1,0,0,0,9,4.0,-36.0,1.0
114,0,1,1,2,135000.0,0,1,0,0,-11564,-2944,1,0,0,1,4,4.0,-43.0,2.0
115,1,0,0,0,81000.0,2,0,0,0,-20920,365243,1,0,0,0,0,2.0,-49.0,2.0
116,1,1,1,1,382500.0,0,0,0,0,-14317,-2751,1,0,0,0,4,3.0,-11.0,2.0
117,1,0,1,0,202500.0,1,0,0,0,-16173,-674,1,0,0,0,3,2.0,-27.0,2.0
118,1,0,1,0,112500.0,0,1,0,0,-18259,-5756,1,0,1,0,3,2.0,-47.0,2.0
119,1,0,1,2,144000.0,0,0,0,0,-12393,-1854,1,1,1,0,9,4.0,0.0,1.0
120,1,0,1,0,157500.0,2,0,4,0,-21497,365243,1,0,0,0,0,1.0,-4.0,1.0
121,1,0,0,0,144000.0,0,0,0,2,-16641,-9988,1,1,1,0,3,2.0,-35.0,2.0
122,1,1,1,2,283500.0,3,1,0,0,-12902,-4120,1,0,0,0,2,4.0,-39.0,2.0
123,1,0,1,0,202500.0,0,0,0,0,-19431,-6226,1,0,0,0,6,2.0,-48.0,2.0
124,1,1,1,2,90000.0,1,0,0,0,-15525,-3357,1,0,0,0,7,4.0,-55.0,2.0
125,0,0,1,0,360000.0,1,0,0,0,-12483,-4039,1,0,0,0,4,2.0,-42.0,2.0
126,1,1,0,1,175500.0,1,0,1,2,-11709,-4983,1,0,0,0,1,2.0,-45.0,2.0
127,0,1,1,1,360000.0,1,1,0,0,-16537,-410,1,0,1,1,1,3.0,-30.0,2.0
128,1,0,1,1,112500.0,0,0,0,0,-13741,-5221,1,0,0,0,1,3.0,-38.0,1.0
129,0,0,0,1,315000.0,0,0,0,0,-17537,-1749,1,0,0,0,1,3.0,-11.0,2.0
130,1,0,1,0,297000.0,1,0,1,3,-15519,-3234,1,0,0,0,1,1.0,-1.0,0.0
131,1,1,0,0,202500.0,1,0,2,1,-14228,-5330,1,0,1,0,0,2.0,-33.0,0.0
132,1,0,0,0,225000.0,1,1,0,0,-10559,-429,1,1,1,0,5,2.0,-35.0,2.0
133,1,1,0,1,387000.0,0,1,0,0,-13168,-2574,1,0,0,0,4,3.0,-22.0,2.0
134,1,1,1,0,135000.0,2,0,4,0,-22991,365243,1,0,0,0,0,1.0,-6.0,2.0
135,0,1,0,1,337500.0,1,1,3,0,-15333,-196,1,0,1,0,4,2.0,-23.0,0.0
136,1,0,0,1,225000.0,1,0,2,0,-12640,-399,1,0,0,0,7,3.0,-29.0,2.0
137,1,1,1,1,225000.0,1,0,0,0,-13591,-3246,1,0,0,0,3,3.0,-46.0,2.0
138,1,0,1,0,54000.0,2,0,0,0,-24367,365243,1,0,0,0,0,2.0,-2.0,0.0
139,1,1,0,0,157500.0,1,0,0,0,-13590,-982,1,0,1,0,0,2.0,-39.0,2.0
140,0,1,1,1,180000.0,0,1,0,1,-11917,-1680,1,1,0,0,1,3.0,-15.0,0.0
141,1,1,1,1,112500.0,1,1,2,0,-10551,-3000,1,0,0,1,2,3.0,-12.0,2.0
142,0,1,1,0,360000.0,0,1,0,0,-22456,-1934,1,0,1,0,4,2.0,-11.0,2.0
143,1,1,1,0,256500.0,1,0,0,0,-13821,-1071,1,0,0,1,2,2.0,-45.0,2.0
144,1,1,0,0,180000.0,0,0,0,0,-10351,-1322,1,0,0,0,0,2.0,-8.0,2.0
145,1,1,0,0,202500.0,3,0,0,0,-19598,-11940,1,0,1,0,8,2.0,-7.0,2.0
146,1,0,0,0,247500.0,0,1,0,0,-14136,-7400,1,1,1,0,4,2.0,-6.0,1.0
147,1,0,1,0,157500.0,0,1,0,0,-12681,-709,1,0,0,0,3,2.0,-11.0,1.0
148,0,1,1,0,225000.0,0,0,0,0,-14496,-808,1,0,1,0,0,2.0,-26.0,2.0
149,1,0,1,2,112500.0,0,0,0,0,-12974,-2379,1,0,0,0,1,4.0,-49.0,1.0
150,1,1,0,1,157500.0,0,1,0,0,-11900,-2828,1,0,0,0,1,3.0,-41.0,2.0
151,0,1,1,0,360000.0,1,0,0,0,-15344,-314,1,0,0,0,5,2.0,-33.0,2.0
152,1,1,1,0,360000.0,0,0,3,0,-10597,-574,1,1,0,0,8,1.0,-35.0,2.0
153,0,1,1,0,180000.0,1,0,0,0,-17975,-3476,1,0,0,0,5,2.0,-32.0,1.0
154,1,0,0,0,175500.0,0,0,0,0,-18868,-10993,1,1,0,0,0,2.0,-46.0,2.0
155,1,0,1,0,90000.0,2,0,0,0,-20362,365243,1,0,0,0,0,2.0,-35.0,2.0
156,0,0,1,1,135000.0,0,0,3,0,-16728,-880,1,0,0,0,1,2.0,-38.0,2.0
157,0,0,1,2,157500.0,0,0,0,0,-10087,-1447,1,0,0,0,0,4.0,-44.0,2.0
158,0,0,1,1,202500.0,3,1,0,0,-10756,-2355,1,0,0,0,2,3.0,-39.0,2.0
159,1,0,1,0,153000.0,2,1,0,0,-21899,365243,1,0,1,0,0,2.0,-51.0,1.0
160,1,1,1,1,72000.0,0,0,0,0,-17136,-1266,1,0,0,0,3,3.0,-11.0,2.0
161,0,1,1,2,360000.0,0,0,0,0,-13465,-839,1,0,1,0,4,4.0,-33.0,0.0
162,1,0,0,1,540000.0,0,0,3,0,-16409,-2045,1,1,0,0,4,2.0,-60.0,2.0
163,1,0,1,0,155250.0,2,0,0,0,-22044,365243,1,0,0,0,0,2.0,-24.0,2.0
164,0,1,1,0,189000.0,0,0,0,0,-20815,-829,1,0,0,1,10,2.0,-3.0,1.0
165,1,0,1,0,139500.0,3,1,0,0,-21017,-895,1,1,1,0,0,2.0,-4.0,1.0
166,1,0,1,0,495000.0,2,0,4,0,-21596,365243,1,0,1,0,0,1.0,-15.0,2.0
167,0,1,0,0,459000.0,1,0,0,0,-15980,-119,1,1,1,0,5,2.0,-14.0,2.0
168,1,0,0,0,157500.0,0,0,0,0,-19702,-9870,1,1,1,0,0,2.0,-21.0,1.0
169,1,0,1,1,225000.0,0,0,3,0,-14077,-3792,1,0,0,0,0,2.0,-3.0,1.0
170,0,1,1,1,450000.0,1,0,0,0,-18173,-678,1,0,1,1,2,3.0,-60.0,2.0
171,1,0,0,0,135000.0,0,0,0,0,-15499,-869,1,0,0,0,12,2.0,-2.0,0.0
172,0,0,1,1,135000.0,0,0,0,0,-15812,-8091,1,0,0,0,0,3.0,-49.0,1.0
173,1,0,1,0,189000.0,2,0,0,0,-23086,365243,1,0,0,0,0,2.0,-19.0,0.0
174,1,0,1,0,225000.0,1,1,0,0,-10755,-1040,1,0,0,1,3,2.0,-15.0,2.0
175,0,0,1,0,112500.0,0,0,0,0,-10705,-1376,1,0,0,0,5,2.0,-2.0,1.0
176,1,1,0,0,315000.0,3,1,0,0,-17940,-9957,1,1,0,0,4,2.0,-26.0,2.0
177,1,0,0,0,157500.0,1,1,1,3,-11785,-1415,1,0,0,0,0,1.0,-22.0,1.0
178,0,0,0,0,126000.0,2,0,0,0,-20288,365243,1,0,0,0,0,2.0,-12.0,2.0
179,0,1,1,0,315000.0,1,0,0,3,-16990,-2026,1,0,0,0,5,2.0,-19.0,2.0
180,1,1,1,0,720000.0,1,1,3,0,-20791,-4814,1,1,1,0,4,1.0,-58.0,2.0
181,1,0,1,0,90000.0,2,0,0,0,-20718,365243,1,0,0,0,0,2.0,-5.0,0.0
182,1,0,1,2,67500.0,0,1,0,0,-10281,-961,1,1,0,0,0,4.0,-12.0,0.0
183,1,0,1,0,157500.0,2,0,0,0,-22861,365243,1,0,1,0,0,2.0,-42.0,1.0
184,0,1,0,0,225000.0,0,0,0,4,-15092,-995,1,0,0,1,5,2.0,-46.0,2.0
185,1,0,1,0,180000.0,0,3,4,0,-16803,-2227,1,1,1,0,11,1.0,-49.0,2.0
186,1,1,1,0,216000.0,0,1,0,0,-18529,-1809,1,0,0,0,15,2.0,-10.0,2.0
187,1,1,1,1,157500.0,1,0,0,0,-13830,-4239,1,0,0,0,1,3.0,-4.0,1.0
188,1,0,0,0,112500.0,2,0,4,0,-20027,365243,1,0,0,0,0,1.0,-26.0,0.0
189,1,0,1,0,112500.0,0,0,0,0,-16573,-4574,1,0,0,0,0,2.0,-44.0,2.0
190,1,0,1,0,90000.0,2,0,1,0,-23262,365243,1,0,1,0,0,1.0,-13.0,0.0
191,1,0,0,0,121500.0,2,0,0,0,-21310,365243,1,0,0,0,0,2.0,-28.0,2.0
192,1,0,1,0,135000.0,0,1,0,0,-13299,-1628,1,0,0,0,1,2.0,-14.0,2.0
193,0,1,0,0,202500.0,1,0,0,0,-16224,-2574,1,0,0,0,10,2.0,-22.0,0.0
194,0,1,0,1,252000.0,3,1,0,0,-12483,-1650,1,1,1,0,6,3.0,-19.0,1.0
195,1,0,1,0,202500.0,0,0,2,0,-10981,-552,1,0,0,0,1,2.0,-5.0,2.0
196,0,1,1,0,202500.0,0,0,0,0,-9889,-2289,1,0,0,0,4,2.0,-36.0,2.0
197,0,0,1,1,360000.0,0,0,2,0,-11524,-2554,1,0,0,0,3,3.0,-49.0,2.0
198,1,0,1,2,225000.0,3,0,0,0,-13077,-5394,1,1,0,0,8,4.0,-26.0,1.0
199,1,0,1,2,360000.0,0,0,0,0,-15812,-658,1,0,1,0,3,4.0,-11.0,2.0
200,0,1,1,0,202500.0,0,1,0,0,-14646,-1953,1,0,0,0,4,2.0,-3.0,1.0
201,1,1,1,0,225000.0,0,1,0,0,-12322,-3717,1,0,0,0,2,2.0,-10.0,1.0
202,1,0,0,0,135000.0,0,1,0,0,-14185,-4447,1,1,0,0,2,2.0,-8.0,1.0
203,0,1,1,0,360000.0,1,0,0,0,-11613,-4031,1,0,1,0,1,2.0,-41.0,2.0
204,0,0,0,0,382500.0,0,0,0,2,-17254,-1207,1,1,1,0,4,2.0,-46.0,1.0
205,1,0,1,0,171000.0,0,0,1,3,-16938,-673,1,0,0,0,1,1.0,-28.0,2.0
206,0,0,0,0,292500.0,3,0,0,0,-11365,-2745,1,1,1,0,2,2.0,-48.0,1.0
207,1,1,0,0,144000.0,0,0,4,0,-14407,-1345,1,0,0,0,17,1.0,-6.0,2.0
208,1,0,0,2,112500.0,3,1,0,0,-11604,-2721,1,0,0,1,2,4.0,-3.0,0.0
209,1,0,1,0,81000.0,2,0,0,0,-21383,365243,1,0,1,0,0,2.0,-18.0,2.0
210,1,1,1,1,225000.0,0,1,3,0,-14816,-1672,1,0,0,0,2,2.0,0.0,1.0
211,1,0,1,0,315000.0,1,1,3,0,-17752,-2380,1,1,1,0,7,1.0,-52.0,2.0
212,0,1,1,1,427500.0,0,1,0,0,-15085,-354,1,0,0,0,4,3.0,-3.0,1.0
213,1,0,0,0,78750.0,0,0,0,1,-12104,-2045,1,1,0,0,10,2.0,-13.0,2.0
214,1,0,0,0,67500.0,2,1,4,0,-24081,365243,1,0,0,0,0,1.0,-30.0,0.0
215,1,0,1,0,121500.0,0,0,0,0,-22046,-2011,1,0,0,0,1,2.0,-13.0,2.0
216,1,0,0,0,144000.0,0,0,1,0,-16898,-7310,1,1,1,0,2,1.0,-42.0,2.0
217,1,0,1,0,135000.0,2,0,0,0,-22283,365243,1,0,0,0,0,2.0,-45.0,1.0
218,1,0,0,0,94500.0,2,0,0,0,-21513,365243,1,0,1,0,0,2.0,-41.0,0.0
219,1,1,0,0,562500.0,0,1,0,0,-14654,-2836,1,1,0,0,4,2.0,-12.0,0.0
220,1,0,1,0,90000.0,2,0,1,0,-21992,365243,1,0,0,0,0,1.0,-32.0,1.0
221,1,0,0,1,72000.0,1,1,0,0,-14173,-1925,1,0,0,1,7,3.0,-43.0,2.0
222,0,0,1,0,144000.0,0,0,2,0,-16979,-1830,1,0,0,0,10,2.0,-11.0,2.0
223,1,1,0,0,202500.0,1,0,0,2,-21276,-1128,1,0,1,0,7,2.0,-17.0,2.0
224,1,0,0,0,270000.0,0,1,0,0,-17573,-5792,1,1,1,0,4,2.0,-28.0,2.0
225,0,1,0,1,180000.0,0,0,0,0,-11498,-4491,1,0,0,0,0,3.0,-12.0,1.0
226,1,1,1,2,315000.0,1,1,0,1,-12621,-1327,1,0,0,0,4,4.0,-50.0,2.0
227,0,1,1,0,180000.0,0,0,0,0,-19565,-3246,1,0,0,0,0,2.0,-49.0,1.0
228,0,0,1,0,292500.0,1,1,1,3,-9990,-1221,1,0,1,0,3,1.0,-7.0,0.0
229,1,0,1,0,90000.0,2,1,0,0,-21340,365243,1,0,0,0,0,2.0,-51.0,2.0
230,1,0,0,0,103500.0,0,0,0,0,-17767,-11062,1,1,0,0,8,2.0,-37.0,2.0
231,1,1,0,0,67500.0,2,0,0,0,-22989,365243,1,0,1,0,0,2.0,-19.0,2.0
232,1,1,1,0,225000.0,0,1,2,0,-11067,-492,1,0,0,0,3,2.0,-17.0,0.0
233,0,1,1,0,112500.0,0,0,0,0,-16076,-7679,1,0,0,0,0,2.0,-27.0,1.0
234,0,1,1,0,450000.0,1,0,0,0,-18318,-923,1,0,1,1,5,2.0,-59.0,1.0
235,0,0,1,0,247500.0,1,1,2,0,-15995,-401,1,0,0,0,2,2.0,-11.0,1.0
236,0,1,0,0,247500.0,1,0,0,0,-17455,-1321,1,0,0,0,5,2.0,-20.0,1.0
237,1,0,0,0,112500.0,3,0,0,0,-14216,-6649,1,1,1,0,0,2.0,-27.0,2.0
238,0,0,0,0,225000.0,0,0,0,0,-15634,-158,1,1,0,0,1,2.0,-29.0,2.0
239,1,1,1,1,270000.0,0,1,3,0,-14052,-140,1,0,1,1,3,2.0,-37.0,2.0
240,0,1,0,0,382500.0,3,1,0,4,-11960,-4174,1,0,0,0,0,2.0,-3.0,1.0
241,0,0,0,2,202500.0,0,0,0,0,-12703,-3141,1,0,1,0,1,4.0,-18.0,1.0
242,1,0,0,2,180000.0,1,0,0,0,-13791,-1353,1,1,0,0,7,4.0,-6.0,2.0
243,1,0,1,0,112500.0,1,0,1,0,-15903,-762,1,0,0,0,3,1.0,-13.0,2.0
244,0,0,0,1,99000.0,0,0,1,0,-17876,-5239,1,0,0,0,1,2.0,-1.0,1.0
245,1,1,1,1,157500.0,3,0,0,0,-13811,-3380,1,0,0,0,1,3.0,-23.0,0.0
246,1,1,1,0,202500.0,0,1,0,0,-20182,-7514,1,0,0,0,7,2.0,-43.0,1.0
247,1,0,1,0,90000.0,0,0,0,0,-18474,-3021,1,0,0,1,11,2.0,-28.0,2.0
248,0,1,1,2,157500.0,1,1,0,1,-14192,-626,1,0,0,0,5,4.0,-47.0,2.0
249,0,0,0,0,180000.0,0,1,0,0,-14972,-1063,1,0,0,0,2,2.0,-43.0,1.0
250,0,0,1,1,180000.0,1,0,0,2,-12627,-2267,1,0,0,0,6,3.0,-11.0,1.0
251,1,0,0,0,202500.0,2,0,0,0,-20565,365243,1,0,1,0,0,2.0,-14.0,2.0
252,1,1,0,1,90000.0,0,2,0,3,-12383,-3480,1,0,0,0,1,3.0,-6.0,1.0
253,1,0,1,0,225000.0,1,1,1,0,-19777,-6835,1,1,1,0,2,1.0,-22.0,2.0
254,1,1,1,0,126000.0,1,0,0,0,-10302,-734,1,0,0,0,2,2.0,-32.0,2.0
255,1,0,1,1,180000.0,3,1,0,0,-10969,-3485,1,0,0,1,6,3.0,-5.0,1.0
256,1,0,1,2,360000.0,1,0,1,0,-13576,-3560,1,0,0,0,3,3.0,-25.0,2.0
